alias_id,person_id,alias_text,source_id,first_seen,last_seen,confidence,synthetic_demo_record
ALIAS_00001,P_00001,A. Maharaj,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00002,P_00002,A. Chander,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00003,P_00003,S. Mall,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00004,P_00004,L. Chatterjee,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00005,P_00005,C. Pathak,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00006,P_00006,A. Setty,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00007,P_00007,Y. Gade,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00008,P_00008,A. Mutti,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00009,P_00009,T. Dhar,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00010,P_00010,J. Kanda,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00011,P_00011,P. Bhatt,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00012,P_00012,H. Choudhury,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00013,P_00013,C. Tripathi,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00014,P_00014,V. Bahl,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00015,P_00015,V. Biswas,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00016,P_00016,S. Muni,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00017,P_00017,H. Bail,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00018,P_00018,G. Bobal,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00019,P_00019,X. Solanki,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00020,P_00020,C. Chaudhari,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00021,P_00021,P. Goswami,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00022,P_00022,G. Khalsa,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00023,P_00023,L. Agate,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00024,P_00024,R. Minhas,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00025,P_00025,D. Trivedi,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00026,P_00026,B. Bumb,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00027,P_00027,A. Randhawa,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00028,P_00028,T. Toor,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00029,P_00029,R. Mittal,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00030,P_00030,A. Manda,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00031,P_00031,P. Malhotra,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00032,P_00032,A. Choudhury,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00033,P_00033,B. Morar,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00034,P_00034,M. Khalsa,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00035,P_00035,A. Dutta,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
ALIAS_00036,P_00036,V. Kapoor,CCTNS_ALIAS_LOG,2024-01-01,2025-12-31,0.9,True
